received_date,application_status,denial_reason,exception_comments,twp_status
2027-04-04,Approved,,,In Progress
2015-09-21,Denied,,,
2020-08-21,Denied,,,
2019-01-17,Approved,,,Credential Completed
2026-04-17,Approved,,,Credential Completed
2017-08-17,Approved,,,In Progress
2017-08-17,Approved,,,Inactive
2001-09-17,Approved,,,In Progress
2001-09-17,Approved,,,Inactive
2001-09-17,Approved,,,Credential Completed
2027-12-21,Denied,,,
2004-09-17,Approved,,,In Progress
2004-09-17,Approved,,,In Progress
2006-09-17,Approved,,,Inactive
2007-09-17,Approved,,,Credential Completed
2007-09-17,Approved,,,Credential Completed
2008-09-17,Approved,,,Inactive
2011-09-17,Approved,,,In Progress
2011-09-17,Approved,,,Inactive
2001-02-21,Denied,,,
2011-09-17,Approved,,,Credential Completed
2011-09-17,Approved,,,Credential Completed
2011-09-17,Approved,,,Credential Completed
2012-09-17,Approved,,,Inactive
2012-09-17,Approved,,,In Progress
2012-09-17,Approved,,,Inactive
2012-09-17,Approved,,,In Progress
2012-09-17,Approved,,,Inactive
2012-09-17,Approved,,,Inactive
2012-09-17,Approved,,,In Progress
2012-09-17,Approved,,,Inactive
2012-09-17,Approved,,,Inactive
2012-09-17,Approved,,,In Progress
2012-09-17,Approved,,,Inactive
2013-09-17,Approved,,,Inactive
2019-03-21,Denied,,,
2004-07-21,Denied,,,
2013-09-17,Approved,,,In Progress
2013-09-17,Approved,,,Credential Completed
2013-09-17,Approved,,,Inactive
2013-09-17,Approved,,,Credential Completed
2013-09-17,Approved,,,Inactive
2013-09-17,Approved,,,Credential Completed
2013-09-17,Approved,,,Credential Completed
2013-09-17,Approved,,,Credential Completed
2013-09-17,Approved,,,In Progress
2013-09-17,Approved,,,Credential Completed
2013-09-17,Approved,,,Inactive
2013-09-17,Approved,,,Inactive
2013-09-17,Approved,,,In Progress
2013-09-17,Approved,,,Inactive
2013-09-17,Approved,,,Inactive
2013-09-17,Approved,,,In Progress
2014-09-17,Approved,,,Credential Completed
2014-09-17,Approved,,,In Progress
2014-09-17,Approved,,,Inactive
2014-09-17,Approved,,,In Progress
2014-09-17,Approved,,,In Progress
2014-09-17,Approved,,,Credential Completed
2014-09-17,Approved,,,In Progress
2014-09-17,Approved,,,Credential Completed
2014-09-17,Approved,,,Inactive
2014-09-17,Approved,,,Inactive
2014-09-17,Approved,,,Credential Completed
2014-09-17,Approved,,,Inactive
2014-09-17,Approved,,,Inactive
2014-09-17,Approved,,,In Progress
2014-09-17,Approved,,,Inactive
2014-09-17,Approved,,,In Progress
2015-09-17,Approved,,,Inactive
2015-09-17,Approved,,,Inactive
2015-09-17,Approved,,,In Progress
2015-09-17,Approved,,,Inactive
2015-09-17,Approved,,,Inactive
2015-09-17,Approved,,,Inactive
2015-09-17,Approved,,,Credential Completed
2015-09-17,Approved,,,In Progress
2027-07-21,Denied,,,
2012-03-21,Denied,,,
2015-09-17,Approved,,,In Progress
2015-09-17,Approved,,,Inactive
2015-09-17,Approved,,,Inactive
2015-09-17,Approved,,,Inactive
2015-09-17,Approved,,,In Progress
2015-09-17,Approved,,,In Progress
2016-09-17,Approved,,,Credential Completed
2017-09-17,Approved,,,Inactive
2017-09-17,Approved,,,Credential Completed
2014-08-20,Denied,,,
2018-09-17,Approved,,,Inactive
2018-09-17,Approved,,,Inactive
2018-09-17,Approved,,,Inactive
2018-09-17,Approved,,,In Progress
2018-09-17,Approved,,,Inactive
2018-09-17,Approved,,,Credential Completed
2018-09-17,Approved,,,Credential Completed
2018-09-17,Approved,,,Inactive
2018-09-17,Approved,,,Credential Completed
2018-09-17,Approved,,,Inactive
2019-09-17,Approved,,,Inactive
2019-09-17,Approved,,,Inactive
2019-09-17,Approved,,,Inactive
2019-09-17,Approved,,,Inactive
2019-09-17,Approved,,,Inactive
2027-10-21,Denied,,,
2019-09-17,Approved,,,In Progress
2020-09-17,Approved,,,In Progress
2020-09-17,Approved,,,In Progress
2020-09-17,Approved,,,Inactive
2020-09-17,Approved,,,Inactive
2020-09-17,Approved,,,Inactive
2026-10-20,Denied,,,
2020-09-17,Approved,,,Inactive
2020-09-17,Approved,,,Inactive
2021-09-17,Approved,,,Credential Completed
2021-09-17,Approved,,,Credential Completed
2022-09-17,Approved,,,Credential Completed
2022-09-17,Approved,,,In Progress
2025-09-17,Approved,,,Inactive
2025-09-17,Approved,,,In Progress
2025-09-17,Approved,,,Inactive
2025-09-17,Approved,,,Credential Completed
2025-09-17,Approved,,,Inactive
2026-09-17,Approved,,,Inactive
2020-02-20,Denied,,,
2026-09-17,Approved,,,In Progress
2003-03-20,Denied,,,
2007-07-19,Denied,,,
2026-09-17,Approved ,,,In Progress
2026-09-17,Approved,,,Inactive
2028-12-20,Denied,,,
2026-09-17,Approved,,,
2026-09-17,Approved,,,In Progress
2026-09-17,Approved,,,Inactive
2026-09-17,Approved,,,In Progress
2027-09-17,,,,Credential Completed
2016-08-18,Denied,,,
2015-07-20,Denied,,,
2027-09-17,Approved,,,Inactive
2028-09-17,Approved,,,In Progress
2028-09-17,Approved,,,Credential Completed
2028-09-17,Approved,,,In Progress
2028-09-17,Approved,,,
2028-09-17,,,,Credential Completed
2029-09-17,Approved,,,Inactive
2029-09-17,Approved,,,In Progress
2004-07-19,Denied,,,
2002-07-19,Denied,,,
2029-09-17,Approved,,,Inactive
2029-09-17,Approved,,,Inactive
2029-09-17,Approved,,,Credential Completed
2002-10-17,Approved,,,In Progress
2003-10-17,Approved,,,Credential Completed
2003-10-17,Approved,,,Inactive
2004-10-17,Approved,,,Credential Completed
2004-10-17,Approved,,,Credential Completed
2004-10-17,Approved,,,Inactive
2004-10-17,Approved,,,Inactive
2027-02-20,Denied,,,
2005-10-17,Approved,,,In Progress
2014-08-20,Denied,,,
2005-10-17,Approved,,,In Progress
2006-10-17,Approved,,,Inactive
2006-10-17,Approved,,,Inactive
2006-10-17,Approved,,,Credential Completed
2006-10-17,Approved,,,Credential Completed
2006-10-17,Approved,,,In Progress
2010-10-17,Approved,,,Inactive
2010-10-17,Approved,,,Credential Completed
2010-10-17,Approved,,,Credential Completed
2010-10-17,Approved,,,In Progress
2011-10-17,Approved,,,In Progress
2011-10-17,Approved,,,In Progress
2011-10-17,Approved,,,Inactive
2011-10-17,Approved,,,Inactive
2011-10-17,Approved,,,In Progress
2011-10-17,Approved,,,Inactive
2015-11-21,Denied,,,
2011-10-17,Approved,,,In Progress
2012-10-17,Approved,,,Inactive
2026-03-20,Denied,,,
2025-11-19,Denied,,,
2012-10-17,Approved,,,In Progress
2012-10-17,Approved,,,In Progress
2012-10-17,,,,Inactive
2012-10-17,Approved,,,Inactive
2012-10-17,Approved,,,Credential Completed
2012-10-17,Approved,,,In Progress
2012-10-17,Approved,,,Inactive
2012-10-17,Approved,,,Credential Completed
2020-07-18,Denied,,,
2012-10-17,Approved,,,Credential Completed
2013-10-17,,,,Credential Completed
2023-02-20,Denied,,,
2013-10-17,Approved,,,Inactive
2013-10-17,Approved,,,Inactive
2014-10-17,Approved,,,Credential Completed
2005-09-21,Denied,,,
2016-10-17,Approved,,,
2016-10-17,Approved,,,Inactive
2017-10-17,Approved,,,Credential Completed
2017-10-17,Approved,,,Inactive
2017-10-17,Approved,,,Credential Completed
2017-10-17,Approved,,,Credential Completed
2017-10-17,Approved,,,Credential Completed
,Denied,,,
2017-10-17,Approved,,,Credential Completed
2009-07-21,Denied,,,
2017-10-17,Approved,,,Credential Completed
2017-10-17,Approved,,,Inactive
2017-10-17,Approved,,,Credential Completed
2018-10-17,Approved,,,Inactive
2018-10-17,Approved,,,Credential Completed
2018-10-17,Approved,,,Credential Completed
2018-10-17,Approved,,,In Progress
2018-10-17,Approved,,,In Progress
2023-03-21,Denied,,,
2018-10-17,Approved,,,In Progress
2019-10-17,Approved,,,Inactive
2019-10-17,Approved,,,Credential Completed
2019-10-17,Approved,,,In Progress
2020-10-17,Approved,,,In Progress
2012-02-20,Denied,,,
2020-10-17,Approved,,,Credential Completed
2023-10-17,Approved,,,Credential Completed
2023-10-17,Approved,,,In Progress
2023-10-17,Approved,,,Inactive
2024-12-19,Denied,,,
2023-10-17,Approved,,,Inactive
2024-10-17,Approved,,,Inactive
2024-10-17,Approved,,,Inactive
2024-10-17,Approved,,,Inactive
2003-02-20,Denied,,,
2025-10-17,Approved,,,Credential Completed
2025-10-17,Approved,,,In Progress
2026-10-17,Approved,,,Credential Completed
2026-10-17,Approved,,,In Progress
2026-10-17,Approved,,,In Progress
2026-10-17,Approved,,,Credential Completed
2027-10-17,Approved,,,Credential Completed
2027-10-17,Approved,,,Inactive
1930-10-17,Approved,,,Credential Completed
2028-08-18,Denied,,,
1930-10-17,Approved,,,In Progress
1930-10-17,Approved,,,Inactive
1931-10-17,Approved,,,Credential Completed
2024-08-20,Denied,,,
1931-10-17,Approved,,,Inactive
2001-11-17,Approved,,,Credential Completed
2001-11-17,Approved,,,In Progress
2002-11-17,Approved,,,Inactive
2002-11-17,Approved,,,Credential Completed
2002-11-17,Approved,,,Inactive
2001-04-19,Denied,,,
2002-11-17,Approved,,,Inactive
2003-11-17,Approved,,,In Progress
2003-11-17,Approved,,,Inactive
2003-11-17,Approved,,,
2006-11-17,Approved,,,Credential Completed
2006-11-17,Approved,,,Credential Completed
2006-11-17,Approved,,,Credential Completed
2006-11-17,Approved,,,In Progress
2023-09-19,Denied,,,
2006-11-17,Approved,,,Inactive
2006-11-17,Approved,,,Credential Completed
2007-11-17,Approved,,,Credential Completed
2007-11-17,Approved,,,Credential Completed
2007-11-17,Approved,,,Inactive
2008-11-17,Approved,,,In Progress
2008-11-17,Approved,,,In Progress
2024-10-18,Denied,,,
2008-11-17,Approved,,,In Progress
2010-11-17,Approved,,,Inactive
2010-11-17,Approved,,,Inactive
2010-11-17,Approved,,,Inactive
2020-06-20,Denied,,,
2014-11-17,Approved,,,Inactive
2014-11-17,Approved,,,In Progress
2029-07-21,Denied,,,
2015-11-17,Approved,,,Inactive
2015-11-17,Approved,,,Inactive
2015-11-17,Approved,,,In Progress
2009-05-21,Denied,,,
2015-11-17,Approved,,,Inactive
2015-11-17,Approved,,,In Progress
2016-11-17,Approved,,,Inactive
2016-11-17,Approved,,,In Progress
2017-11-17,Approved,,,Inactive
2020-11-17,Approved,,,Inactive
2021-10-21,Denied,,,
2012-08-21,Denied,,,
2020-11-17,Approved,,,In Progress
2020-11-17,Approved,,,
2020-11-17,Approved,,,Inactive
2021-11-17,Approved,,,Credential Completed
2021-11-17,Approved,,,Inactive
2021-11-17,Approved,,,Inactive
2021-11-17,Approved,,,
1930-04-19,Denied,,,
2021-11-17,Approved,,,In Progress
2022-11-17,Approved,,,Inactive
2022-11-17,Approved,,,In Progress
2022-11-17,Approved,,,Inactive
2023-11-17,Approved,,,Inactive
2023-11-17,Approved,,,Credential Completed
2008-11-21,Denied,,,
2023-11-17,Approved,,,Inactive
2023-11-17,Approved,,,In Progress
2023-11-17,Approved,,,Inactive
2023-11-17,Approved,,,Credential Completed
2023-11-17,Approved,,,In Progress
2023-11-17,Approved,,,Inactive
2023-11-17,Approved,,,Credential Completed
2024-11-17,Approved,,,In Progress
2001-11-19,Denied,,,
2024-11-17,Approved,,,Inactive
2028-11-17,Approved,,,In Progress
2028-11-17,Approved,,,In Progress
2017-01-19,Denied,,,
2028-11-17,Approved,,,Credential Completed
2028-11-17,Approved,,,Inactive
2028-11-17,Approved,,,Inactive
2028-11-17,Approved,,,In Progress
