received_date,application_status,denial_reason,exception_comments,twp_status
2027-04-04,APPROVED,,,"In Progress"
2015-09-21,DENIED,,,
2020-08-21,DENIED,,,
2019-01-17,APPROVED,,,"Credential Completed"
2026-04-17,APPROVED,,,"Credential Completed"
2017-08-17,APPROVED,,,"In Progress"
2017-08-17,APPROVED,,,Inactive
2001-09-17,APPROVED,,,"In Progress"
2001-09-17,APPROVED,,,Inactive
2001-09-17,APPROVED,,,"Credential Completed"
2027-12-21,DENIED,,,
2004-09-17,APPROVED,,,"In Progress"
2004-09-17,APPROVED,,,"In Progress"
2006-09-17,APPROVED,,,Inactive
2007-09-17,APPROVED,,,"Credential Completed"
2007-09-17,APPROVED,,,"Credential Completed"
2008-09-17,APPROVED,,,Inactive
2011-09-17,APPROVED,,,"In Progress"
2011-09-17,APPROVED,,,Inactive
2001-02-21,DENIED,,,
2011-09-17,APPROVED,,,"Credential Completed"
2011-09-17,APPROVED,,,"Credential Completed"
2011-09-17,APPROVED,,,"Credential Completed"
2012-09-17,APPROVED,,,Inactive
2012-09-17,APPROVED,,,"In Progress"
2012-09-17,APPROVED,,,Inactive
2012-09-17,APPROVED,,,"In Progress"
2012-09-17,APPROVED,,,Inactive
2012-09-17,APPROVED,,,Inactive
2012-09-17,APPROVED,,,"In Progress"
2012-09-17,APPROVED,,,Inactive
2012-09-17,APPROVED,,,Inactive
2012-09-17,APPROVED,,,"In Progress"
2012-09-17,APPROVED,,,Inactive
2013-09-17,APPROVED,,,Inactive
2019-03-21,DENIED,,,
2004-07-21,DENIED,,,
2013-09-17,APPROVED,,,"In Progress"
2013-09-17,APPROVED,,,"Credential Completed"
2013-09-17,APPROVED,,,Inactive
2013-09-17,APPROVED,,,"Credential Completed"
2013-09-17,APPROVED,,,Inactive
2013-09-17,APPROVED,,,"Credential Completed"
2013-09-17,APPROVED,,,"Credential Completed"
2013-09-17,APPROVED,,,"Credential Completed"
2013-09-17,APPROVED,,,"In Progress"
2013-09-17,APPROVED,,,"Credential Completed"
2013-09-17,APPROVED,,,Inactive
2013-09-17,APPROVED,,,Inactive
2013-09-17,APPROVED,,,"In Progress"
2013-09-17,APPROVED,,,Inactive
2013-09-17,APPROVED,,,Inactive
2013-09-17,APPROVED,,,"In Progress"
2014-09-17,APPROVED,,,"Credential Completed"
2014-09-17,APPROVED,,,"In Progress"
2014-09-17,APPROVED,,,Inactive
2014-09-17,APPROVED,,,"In Progress"
2014-09-17,APPROVED,,,"In Progress"
2014-09-17,APPROVED,,,"Credential Completed"
2014-09-17,APPROVED,,,"In Progress"
2014-09-17,APPROVED,,,"Credential Completed"
2014-09-17,APPROVED,,,Inactive
2014-09-17,APPROVED,,,Inactive
2014-09-17,APPROVED,,,"Credential Completed"
2014-09-17,APPROVED,,,Inactive
2014-09-17,APPROVED,,,Inactive
2014-09-17,APPROVED,,,"In Progress"
2014-09-17,APPROVED,,,Inactive
2014-09-17,APPROVED,,,"In Progress"
2015-09-17,APPROVED,,,Inactive
2015-09-17,APPROVED,,,Inactive
2015-09-17,APPROVED,,,"In Progress"
2015-09-17,APPROVED,,,Inactive
2015-09-17,APPROVED,,,Inactive
2015-09-17,APPROVED,,,Inactive
2015-09-17,APPROVED,,,"Credential Completed"
2015-09-17,APPROVED,,,"In Progress"
2027-07-21,DENIED,,,
2012-03-21,DENIED,,,
2015-09-17,APPROVED,,,"In Progress"
2015-09-17,APPROVED,,,Inactive
2015-09-17,APPROVED,,,Inactive
2015-09-17,APPROVED,,,Inactive
2015-09-17,APPROVED,,,"In Progress"
2015-09-17,APPROVED,,,"In Progress"
2016-09-17,APPROVED,,,"Credential Completed"
2017-09-17,APPROVED,,,Inactive
2017-09-17,APPROVED,,,"Credential Completed"
2014-08-20,DENIED,,,
2018-09-17,APPROVED,,,Inactive
2018-09-17,APPROVED,,,Inactive
2018-09-17,APPROVED,,,Inactive
2018-09-17,APPROVED,,,"In Progress"
2018-09-17,APPROVED,,,Inactive
2018-09-17,APPROVED,,,"Credential Completed"
2018-09-17,APPROVED,,,"Credential Completed"
2018-09-17,APPROVED,,,Inactive
2018-09-17,APPROVED,,,"Credential Completed"
2018-09-17,APPROVED,,,Inactive
2019-09-17,APPROVED,,,Inactive
2019-09-17,APPROVED,,,Inactive
2019-09-17,APPROVED,,,Inactive
2019-09-17,APPROVED,,,Inactive
2019-09-17,APPROVED,,,Inactive
2027-10-21,DENIED,,,
2019-09-17,APPROVED,,,"In Progress"
2020-09-17,APPROVED,,,"In Progress"
2020-09-17,APPROVED,,,"In Progress"
2020-09-17,APPROVED,,,Inactive
2020-09-17,APPROVED,,,Inactive
2020-09-17,APPROVED,,,Inactive
2026-10-20,DENIED,,,
2020-09-17,APPROVED,,,Inactive
2020-09-17,APPROVED,,,Inactive
2021-09-17,APPROVED,,,"Credential Completed"
2021-09-17,APPROVED,,,"Credential Completed"
2022-09-17,APPROVED,,,"Credential Completed"
2022-09-17,APPROVED,,,"In Progress"
2025-09-17,APPROVED,,,Inactive
2025-09-17,APPROVED,,,"In Progress"
2025-09-17,APPROVED,,,Inactive
2025-09-17,APPROVED,,,"Credential Completed"
2025-09-17,APPROVED,,,Inactive
2026-09-17,APPROVED,,,Inactive
2020-02-20,DENIED,,,
2026-09-17,APPROVED,,,"In Progress"
2003-03-20,DENIED,,,
2007-07-19,DENIED,,,
2026-09-17,"APPROVED ",,,"In Progress"
2026-09-17,APPROVED,,,Inactive
2028-12-20,DENIED,,,
2026-09-17,APPROVED,,,
2026-09-17,APPROVED,,,"In Progress"
2026-09-17,APPROVED,,,Inactive
2026-09-17,APPROVED,,,"In Progress"
2027-09-17,,,,"Credential Completed"
2016-08-18,DENIED,,,
2015-07-20,DENIED,,,
2027-09-17,APPROVED,,,Inactive
2028-09-17,APPROVED,,,"In Progress"
2028-09-17,APPROVED,,,"Credential Completed"
2028-09-17,APPROVED,,,"In Progress"
2028-09-17,APPROVED,,,
2028-09-17,,,,"Credential Completed"
2029-09-17,APPROVED,,,Inactive
2029-09-17,APPROVED,,,"In Progress"
2004-07-19,DENIED,,,
2002-07-19,DENIED,,,
2029-09-17,APPROVED,,,Inactive
2029-09-17,APPROVED,,,Inactive
2029-09-17,APPROVED,,,"Credential Completed"
2002-10-17,APPROVED,,,"In Progress"
2003-10-17,APPROVED,,,"Credential Completed"
2003-10-17,APPROVED,,,Inactive
2004-10-17,APPROVED,,,"Credential Completed"
2004-10-17,APPROVED,,,"Credential Completed"
2004-10-17,APPROVED,,,Inactive
2004-10-17,APPROVED,,,Inactive
2027-02-20,DENIED,,,
2005-10-17,APPROVED,,,"In Progress"
2014-08-20,DENIED,,,
2005-10-17,APPROVED,,,"In Progress"
2006-10-17,APPROVED,,,Inactive
2006-10-17,APPROVED,,,Inactive
2006-10-17,APPROVED,,,"Credential Completed"
2006-10-17,APPROVED,,,"Credential Completed"
2006-10-17,APPROVED,,,"In Progress"
2010-10-17,APPROVED,,,Inactive
2010-10-17,APPROVED,,,"Credential Completed"
2010-10-17,APPROVED,,,"Credential Completed"
2010-10-17,APPROVED,,,"In Progress"
2011-10-17,APPROVED,,,"In Progress"
2011-10-17,APPROVED,,,"In Progress"
2011-10-17,APPROVED,,,Inactive
2011-10-17,APPROVED,,,Inactive
2011-10-17,APPROVED,,,"In Progress"
2011-10-17,APPROVED,,,Inactive
2015-11-21,DENIED,,,
2011-10-17,APPROVED,,,"In Progress"
2012-10-17,APPROVED,,,Inactive
2026-03-20,DENIED,,,
2025-11-19,DENIED,,,
2012-10-17,APPROVED,,,"In Progress"
2012-10-17,APPROVED,,,"In Progress"
2012-10-17,,,,Inactive
2012-10-17,APPROVED,,,Inactive
2012-10-17,APPROVED,,,"Credential Completed"
2012-10-17,APPROVED,,,"In Progress"
2012-10-17,APPROVED,,,Inactive
2012-10-17,APPROVED,,,"Credential Completed"
2020-07-18,DENIED,,,
2012-10-17,APPROVED,,,"Credential Completed"
2013-10-17,,,,"Credential Completed"
2023-02-20,DENIED,,,
2013-10-17,APPROVED,,,Inactive
2013-10-17,APPROVED,,,Inactive
2014-10-17,APPROVED,,,"Credential Completed"
2005-09-21,DENIED,,,
2016-10-17,APPROVED,,,
2016-10-17,APPROVED,,,Inactive
2017-10-17,APPROVED,,,"Credential Completed"
2017-10-17,APPROVED,,,Inactive
2017-10-17,APPROVED,,,"Credential Completed"
2017-10-17,APPROVED,,,"Credential Completed"
2017-10-17,APPROVED,,,"Credential Completed"
1770-07-07,DENIED,,,
2017-10-17,APPROVED,,,"Credential Completed"
2009-07-21,DENIED,,,
2017-10-17,APPROVED,,,"Credential Completed"
2017-10-17,APPROVED,,,Inactive
2017-10-17,APPROVED,,,"Credential Completed"
2018-10-17,APPROVED,,,Inactive
2018-10-17,APPROVED,,,"Credential Completed"
2018-10-17,APPROVED,,,"Credential Completed"
2018-10-17,APPROVED,,,"In Progress"
2018-10-17,APPROVED,,,"In Progress"
2023-03-21,DENIED,,,
2018-10-17,APPROVED,,,"In Progress"
2019-10-17,APPROVED,,,Inactive
2019-10-17,APPROVED,,,"Credential Completed"
2019-10-17,APPROVED,,,"In Progress"
2020-10-17,APPROVED,,,"In Progress"
2012-02-20,DENIED,,,
2020-10-17,APPROVED,,,"Credential Completed"
2023-10-17,APPROVED,,,"Credential Completed"
2023-10-17,APPROVED,,,"In Progress"
2023-10-17,APPROVED,,,Inactive
2024-12-19,DENIED,,,
2023-10-17,APPROVED,,,Inactive
2024-10-17,APPROVED,,,Inactive
2024-10-17,APPROVED,,,Inactive
2024-10-17,APPROVED,,,Inactive
2003-02-20,DENIED,,,
2025-10-17,APPROVED,,,"Credential Completed"
2025-10-17,APPROVED,,,"In Progress"
2026-10-17,APPROVED,,,"Credential Completed"
2026-10-17,APPROVED,,,"In Progress"
2026-10-17,APPROVED,,,"In Progress"
2026-10-17,APPROVED,,,"Credential Completed"
2027-10-17,APPROVED,,,"Credential Completed"
2027-10-17,APPROVED,,,Inactive
1930-10-17,APPROVED,,,"Credential Completed"
2028-08-18,DENIED,,,
1930-10-17,APPROVED,,,"In Progress"
1930-10-17,APPROVED,,,Inactive
1931-10-17,APPROVED,,,"Credential Completed"
2024-08-20,DENIED,,,
1931-10-17,APPROVED,,,Inactive
2001-11-17,APPROVED,,,"Credential Completed"
2001-11-17,APPROVED,,,"In Progress"
2002-11-17,APPROVED,,,Inactive
2002-11-17,APPROVED,,,"Credential Completed"
2002-11-17,APPROVED,,,Inactive
2001-04-19,DENIED,,,
2002-11-17,APPROVED,,,Inactive
2003-11-17,APPROVED,,,"In Progress"
2003-11-17,APPROVED,,,Inactive
2003-11-17,APPROVED,,,
2006-11-17,APPROVED,,,"Credential Completed"
2006-11-17,APPROVED,,,"Credential Completed"
2006-11-17,APPROVED,,,"Credential Completed"
2006-11-17,APPROVED,,,"In Progress"
2023-09-19,DENIED,,,
2006-11-17,APPROVED,,,Inactive
2006-11-17,APPROVED,,,"Credential Completed"
2007-11-17,APPROVED,,,"Credential Completed"
2007-11-17,APPROVED,,,"Credential Completed"
2007-11-17,APPROVED,,,Inactive
2008-11-17,APPROVED,,,"In Progress"
2008-11-17,APPROVED,,,"In Progress"
2024-10-18,DENIED,,,
2008-11-17,APPROVED,,,"In Progress"
2010-11-17,APPROVED,,,Inactive
2010-11-17,APPROVED,,,Inactive
2010-11-17,APPROVED,,,Inactive
2020-06-20,DENIED,,,
2014-11-17,APPROVED,,,Inactive
