institution_name,study_period_start_date,credential,program_length, total_estimated_cost ,student_status,Comments
University of Victoria,01-09-2021,Bachelor of Child & Youth Care,,, Attending ,
BCIT,07-09-2021,Business Operations Management,2," $14,452.00 ",,
BCIT,01-09-2021,Communication Design Essentials Certificate,1," $11,584.00 ",,
Simon Fraser University,,Bachelor of Education, 4 ,, Completed  ,
Kwantlen Polytechnic University,,Arts,,, Completed  ,
Douglas College,08-09-2018,Bachelor of Social Work,4," $24,000.00 ", Attending ,
Thompson Rivers University,,Undeclared,,,,
Simon Fraser University,01-09-2019,Bachelor of Science,4," $25,080.00 ", Hiatus ,
BCIT,,Accounting,,, Never Attended ,
Douglas College,05-05-2020,Liberal Arts Diploma,2," $12,000.00 ", Attending ,
BCIT,28-02-2022,Joinery Cabinetmaker Foundation,1," $4,350.00 ",,
University of the Fraser Valley,01-09-2021,Qualifying Studies/Bachelor of Integrated Studies,2," $8,293.00 ", Attending , Completed credential and Fall '21 attending Qualifying Studies 
Douglas College,01-09-2018,Bachelor of Child & Youth Care,4," $36,000.00 ", Attending , Reported as completed 
BCIT,09-06-2016,CISA- Network Administration,2," $17,000.00 ", Hiatus , failed out of program 
BCIT,,Marketing Mgmt- professional sales ,,, Completed  ,
BCIT,,Marketing Mgmt- Professional sales,,, Completed  ,
Camosun College,11-01-2016,Associate Degree Arts,2,, Hiatus , Last attended 08/20 
University of Victoria,,Nursing,,, Hiatus ,
Douglas College,,General Studies,,, Hiatus ,
BCIT,01-09-2021,Finance Diploma,2," $12,060.00 ",,
Nicola Valley Institute of Technology,,Bachelor of Social Work, 4 ,, Completed  ,
BCIT,,Marketing Management- communications,,, Completed  ,
BCIT,08-01-2021,Human Resource Management ,1," $7,300.00 ", Completed  ,
BCIT,,Arts,,,, Never attended 
Kwantlen Polytechnic University,09-01-2017,Legal Admin Studies,1," $8,000.00 ", Attending ,
BCIT,,Bachelor of Arts,,, Never Attended ,
College of New Caledonia,08-09-2020,Early Childhood Education and Learning, 1 ," $5,020.00 ", Hiatus ,
Kwantlen Polytechnic University,01-09-2017,Bachelor of  Arts, 4 ," $23,500.00 ", Hiatus ,
Camosun College,06-09-2016,"Community, Family & Child Studies",2,, Hiatus , Last attended 12/18 
Camosun College,08-09-2020,University Transfer,2," $12,000.00 ", Attending ,
Vancouver Community College,,University Transfer,,,,
Camosun College,06-09-2016,Bachelor of Science in Nursing,4," $25,000.00 ", Hiatus , Last attended 12/18 
Camosun College,05-09-2017,Bachelor of Business Administration,4," $25,000.00 ", Attending ,
Simon Fraser University,,Bachelor of Arts,,,,
Langara College,,Computer Studies Diploma,,, Hiatus ,
BCIT,01-04-2021,Project Management Associate Certificate,1," $6,000.00 ",,
BCIT,07-09-2021,Graphic Design Associate Certificate,1," $6,791.00 ",,
Douglas College,01-09-2019,Bachelor of Arts Therapeutic Recreation,4," $14,160.00 ", Attending ,
Langara College,,Recreation Leadership Diploma,,, Completed  ,
Langara College,,Associate of Arts,2,, Hiatus ,
Kwantlen Polytechnic University,01-09-2017,Bachelor of Interior Design, 4 ," $35,760.00 ", Completed  ,
Langara College,,Associate of Arts,2," $9,335.00 ", Hiatus ,
BCIT,05-09-2017,Technology Support Professional,,, Completed  ,
Camosun College,05-09-2017,Mental Health & Addictions,1,, Completed  ,
Kwantlen Polytechnic University,01-09-2017,Arts, 4 ," $23,500.00 ", Completed  , credit mulit pass 
University of the Fraser Valley,01-09-2017,Bachelor of Fine Arts,4," $23,765.00 ", Hiatus ,
Nicola Valley Institute of Technology,04-09-2018,Bachelor of Social Work,2," $7,800.00 ", Completed  ,
Thompson Rivers University,01-01-2021,Inter-Provincial Substance Use,1," $3,800.00 ", Never Attended ,
Douglas College,,Arts in Psychology,,, Hiatus ,
University of Victoria,,Bachelor of Arts,,, Attending ,
Langara College,,Diploma Arts and Science General,,, Hiatus ,
BCIT,,Arts,,, Never Attended ,
Kwantlen Polytechnic University,01-09-2019,Arts,4," $23,500.00 ", Attending ,
Nicola Valley Institute of Technology,,Chemical Addiction Worker Certificate,,, Completed  ,
Nicola Valley Institute of Technology,02-09-2022,Bachelor of Social Work,2," $12,523.32 ",, Last attended 11/17 
University of the Fraser Valley,,Applied Business Technology,,,,
University of the Fraser Valley,,Bachelor of Arts,4," $21,609.00 ", Hiatus ,
Simon Fraser University,01-09-2017,Bachelor of Arts,4," $25,080.00 ", Attending ,
University of British Columbia Okanagan,,Bachelor of Science,,, Completed  ,
Kwantlen Polytechnic University,01-09-2017,Business,4," $23,500.00 ", Hiatus ,
Simon Fraser University,04-09-2018,Bachelor of Arts,4," $26,160.00 ", Completed  ,
BCIT,,Nursing,,, Never Attended ,
Kwantlen Polytechnic University,01-09-2017,Nursing,,, Hiatus ,
University of the Fraser Valley,01-08-2019,Professional Cook Training,1,, Completed  ,
Capilano University,,Associate of Arts,,, Hiatus ,
Camosun College,05-09-2017,Bachelor of Business Administration,4,, Hiatus , Last attended 12/17 
Justice Insitute of British Columbia,01-11-2020,"First Responder, EMR, Policing",1," $1,718.00 ", Hiatus ,
Simon Fraser University,,Bachelor of Science,,,,
Capilano University,,Legal Studies,4," $24,728.82 ", Hiatus ,
Nicola Valley Institute of Technology,09-09-2017,Associate of Arts,2," $5,437.00 ", Hiatus ," Last attended date: Dec 22, 2020 "
Nicola Valley Institute of Technology,,Residential Construction,,, Hiatus ,
Camosun College,04-09-2018,Associate Degree Arts,2,, Hiatus ,
Thompson Rivers University,,Education Assistant & Community Support,,,,
